client_id,client_type,first_name,last_name,date_of_birth,email,phone,address,country,client_onboarding_date,risk_rating
C0133,Individual,Natalie,Morgan,2006-06-15,michael56@example.net,(568)363-3414x1115,"USNV Rodriguez, FPO AE 90497",AUS,2021-12-13,Medium
C0134,Individual,Stacey,Smith,1971-10-17,daviskatherine@example.org,001-552-856-9040,"255 Justin Way, Wilsonton, AR 61403",CAN,2024-03-24,Low
C0135,Individual,Christopher,Kane,2007-04-25,christianelizabeth@example.org,(455)628-9931x60875,"46600 David Gardens, South Christopher, CO 95319",BRA,2021-05-04,High
C0136,Individual,Todd,Knight,1973-06-02,michael79@example.com,777.629.4209,"29615 David Shoal, Staceystad, AL 65743",BRA,2025-05-05,Medium
C0137,Individual,Chad,Morales,1936-09-25,watsonmatthew@example.org,214.497.3746x05233,"3446 Tara Inlet Apt. 276, Port Cynthia, MS 03797",GBR,2021-10-05,Medium
C0138,Individual,Kathleen,Thomas,2002-10-02,dross@example.com,364.620.8656x7566,"3057 Tamara Inlet, Bruceview, IA 46339",South Africa,2023-11-22,Low
C0139,Individual,Katie,Schultz,1992-12-31,evaughn@example.com,438-961-2590x4729,"76822 Sherman Summit Apt. 726, Hatfieldhaven, MO 55329",IND,2020-08-14,Low
C0140,Individual,David,Johnson,1958-10-19,danielhorton@example.org,001-874-823-3305x912,"6224 Stephanie Road Suite 687, Kristyport, NJ 61722",GBR,2021-06-29,Medium
C0141,Institutional,Thomas,Reese,1948-12-18,dalepruitt@example.com,+1-820-515-7201x85962,"035 Benjamin Coves, Vincentfort, ME 19581",China,2023-08-29,High
C0142,Individual,Andrea,Lewis,1947-07-05,ywhite@example.com,3139674926,"3404 Koch Terrace Suite 821, North Matthew, SC 57232",Germany,2020-12-13,Low
C0143,Institutional,Joseph,Barnes,2005-10-08,huffmannichole@example.net,+1-264-975-0111x1783,"54920 Keller Harbor Suite 111, Schroederside, OH 11027",China,2021-06-06,Low
C0144,Institutional,Monique,Peterson,1954-08-31,timothyfreeman@example.com,319-426-7649x215,"06343 Byrd Turnpike Suite 882, New Zacharyshire, AS 55521",Germany,2025-03-04,Low
C0145,Institutional,Rodney,Wood,1967-03-13,qwilliams@example.net,(306)488-8718x9813,"4051 Victoria Falls Apt. 254, Lake Kara, CO 95686",ZAF,2024-02-09,Medium
C0146,Individual,Jason,Griffith,1960-07-09,alexander89@example.net,+1-320-687-5102x932,"60498 Smith Garden, Thomashaven, MS 07430",UK,2024-10-04,Medium
C0147,Individual,Amber,Frank,2006-01-19,tiffanysantiago@example.com,001-601-918-4582x60340,"Unit 3203 Box 1978, DPO AP 82145",UK,2020-07-27,Medium
C0148,Individual,Jessica,Bradley,1968-10-02,reynoldsjessica@example.com,(597)358-5988,"14003 Ellison Mountains, East Danielfort, WA 13464",FRA,2021-05-26,Medium
C0149,Individual,James,Miller,1982-08-22,elizabeth62@example.net,+1-603-403-2432x98395,"860 Nicole Throughway Suite 259, Lake Williamville, OR 85437",AUS,2020-08-15,High
C0150,Institutional,Larry,Williams,1970-10-13,smithsarah@example.net,001-896-418-4462x6714,"550 Chase Mill Suite 358, Lake David, NJ 22320",AUS,2022-04-10,High
C0151,Individual,Wanda,Moore,1988-06-01,kchristian@example.org,+1-431-843-5989,"072 George Centers Apt. 716, South Anthonyhaven, DE 81184",CHN,2024-02-09,Medium
C0152,Individual,Debra,Williamson,1945-02-26,vflores@example.com,(356)360-9314,"39964 Henry Crest, South Matthew, IN 05785",France,2020-06-05,High
C0153,Individual,Samuel,Craig,1985-03-04,hunterandrea@example.com,+1-886-515-1554x23401,"102 Payne Spring Suite 578, North Geoffreyview, TN 38926",FRA,2025-05-25,Low
C0154,Individual,Zachary,Nelson,1989-08-29,fmontoya@example.com,(611)328-4971x8594,"62216 Kristina Lights, Arnoldmouth, KS 52721",Brazil,2020-12-23,Low
C0155,Individual,David,Stanley,1996-11-13,csolis@example.org,8259625889,"7516 John Vista, Heidiberg, CO 42687",IND,2022-10-07,Low
C0156,Institutional,Jeffrey,Tucker,1967-07-02,hwest@example.com,001-624-208-2226,"4261 Timothy Branch, East Michael, GU 85537",CHN,2025-04-06,Medium
C0157,Individual,Matthew,Ramos,1965-02-20,garciarobert@example.net,001-853-596-7275x7844,"43198 Becky Heights Suite 813, North Kevinville, WA 56217",Australia,2020-06-05,Low
C0158,Institutional,Brianna,Nelson,1975-03-24,petersenlatoya@example.net,314-665-1113x1290,"53021 Buck Lane, Cortezside, MS 92026",USA,2025-02-15,High
C0159,Individual,Jerry,Fischer,1945-05-16,pamela83@example.net,+1-370-868-2778,"95348 Clarence Islands, Port Davidview, PW 65862",France,2020-12-20,Medium
C0160,Institutional,Jeffrey,Wilson,1938-09-18,xclements@example.org,2939068538,"8961 Kennedy Plaza, Manuelville, DC 72067",India,2024-05-17,High
C0161,Individual,Chad,Jordan,1947-02-15,meganrivera@example.net,(283)821-5285,"5123 Hubbard Parks Apt. 554, South Melissa, SC 06479",ZA,2020-10-25,Low
C0162,Individual,Crystal,Campbell,1989-07-23,xmoran@example.net,662.551.5381x4474,"36024 Graham Street Suite 467, Thomasstad, CA 58374",USA,2020-10-25,Low
C0163,Institutional,Jeremy,Gregory,1986-01-07,wwilson@example.net,9962348079,"08715 Trujillo Throughway Suite 837, East Connormouth, ME 30420",Canada,2022-01-25,Low
C0164,Institutional,Rebecca,Tucker,1985-09-25,aaronkelly@example.net,(709)275-4510x526,"4148 Thornton Skyway, South Brendan, OK 23144",DEU,2021-07-22,Medium
